subject_id,group,device_num,side,device_label,mac_address,date,session_label,fs_hz,duration_s,mean_percent_mvc,max_percent_mvc,min_percent_mvc,iemg_percent_seconds,apdf_p10,apdf_p50,apdf_p90
85,2,#003,left,mBAN_left,886B0FABF79E,2025-10-01,12-30-00,1000,1167.586,10.487763129138143,70.01400840435366,2.098501938585398,12245.348991020395,3.2249283214453204,6.743852081426313,23.945378659167986
85,2,#003,right,mBAN_right,84FD27E50653,2025-10-02,15-30-00,1000,1191.86,10.679418981733255,116.72759984316173,1.4500713146659434,12728.353378941636,2.566315558426588,8.93148737226938,20.578417633590526
85,2,#003,right,mBAN_right,84FD27E50653,2025-10-02,17-00-00,1000,1188.304,11.764495618773227,117.90696806515805,1.3737395772812089,13979.79196328047,2.519051803889234,9.796952820555358,23.2831959395165
85,2,#003,right,mBAN_right,84FD27E50653,2025-10-02,18-00-00,1000,1169.776,9.558080032797866,76.73148920296354,1.469374095981911,11180.809955630357,1.9782196803877448,7.662649918417817,19.46081243791044
85,2,#003,right,mBAN_right,84FD27E50653,2025-10-02,19-00-00,1000,470.558,5.454380019160234,81.62078757237657,1.5347084363513956,2566.6000053874814,1.8751455807483104,2.6149431400152907,15.542831771747164
85,2,#003,left,mBAN_left,886B0FABF79E,2025-10-02,15-30-00,1000,1186.723,7.762854472882958,66.54133905791039,2.8231167856296406,9212.354031005165,3.7078262224348943,5.385990135676833,15.747986613345986
85,2,#003,left,mBAN_left,886B0FABF79E,2025-10-02,17-00-00,1000,1091.264,10.680404580173345,74.77320248548222,3.0176119601360996,11655.132368071356,4.1995546815742495,8.503999312454845,20.145824892731795
85,2,#003,left,mBAN_left,886B0FABF79E,2025-10-02,18-00-00,1000,1192.562,10.74108516271207,82.39159059710566,3.010514227575869,12809.404257530086,4.438875568574426,8.336503117596694,20.611856281734415
85,2,#003,left,mBAN_left,886B0FABF79E,2025-10-02,19-00-00,1000,1188.229,7.851575618558158,93.76042865463634,3.04843875408348,9329.464982429614,3.8091066586281466,5.170547165439762,16.00251095611259
85,2,#003,right,mBAN_right,84FD27E50653,2025-10-03,12-30-00,1000,1185.718,10.0221402140739,100.69906729534333,2.4129832534633224,11883.423683567169,3.220201538651118,6.766596506494513,22.477459031420267
85,2,#003,right,mBAN_right,84FD27E50653,2025-10-03,13-00-00,1000,1179.205,9.568822456631157,68.99487705494528,2.6287508822336343,11283.588627594585,3.4144045115566093,5.074146800465547,23.29764848940811
85,2,#003,right,mBAN_right,84FD27E50653,2025-10-03,14-30-00,1000,1177.619,8.990994509219949,59.033454652666286,2.420215877191469,10587.958583073414,3.4657302276367634,7.295647877383192,16.673967602695058
85,2,#003,right,mBAN_right,84FD27E50653,2025-10-03,16-00-00,1000,433.457,6.981719161548718,68.7244416847002,2.681056426499576,3026.269974383711,3.548794634338293,5.959636715845522,10.270544022661573
85,2,#003,left,mBAN_left,886B0FABF79E,2025-10-03,12-30-00,1000,1191.345,12.298991409117374,84.51159436628498,2.575396139096157,14652.336296291745,3.3106604819958374,7.796146955086937,28.217612062728687
85,2,#003,left,mBAN_left,886B0FABF79E,2025-10-03,13-00-00,1000,1189.645,13.464384554100427,81.95515243293866,2.5925984148407744,16017.808736065417,3.496690259649947,9.468747721932113,29.022711939290996
85,2,#003,left,mBAN_left,886B0FABF79E,2025-10-03,14-30-00,1000,1187.854,11.692880619498876,82.42155865505215,2.5616278632490697,13889.42968100511,3.460727782762112,7.713432751233961,25.790660556208532
85,2,#003,left,mBAN_left,886B0FABF79E,2025-10-03,16-00-00,1000,1198.541,8.72926492370559,74.7625070887641,2.5505039066079918,10462.371838355328,3.243920698079561,4.756982480437446,20.249277831293714
107,4,#007,left,mBAN_left,588E81A24A2B,2025-10-13,11-30-00,1000,1195.916,2.262340275249798,45.751873168042536,0.6017099523356862,2705.559876973351,0.751048192497042,0.9186384607773933,4.993198003299892
107,4,#007,left,mBAN_left,588E81A24A2B,2025-10-13,12-30-01,1000,1155.785,5.902904906708983,96.67292867054292,0.6281367749396087,6822.482060631155,0.9217278883424705,3.659978085071939,12.746009316891216
107,4,#007,left,mBAN_left,588E81A24A2B,2025-10-13,14-30-00,1000,1196.758,3.109962577937281,67.70976828532426,0.6290639022036699,3721.867167190131,0.7892046822224448,1.083904725565259,7.923201457993829
107,4,#007,left,mBAN_left,588E81A24A2B,2025-10-13,15-30-00,1000,1192.966,3.5681947419546107,57.74255640444442,0.6376624500592512,4256.72397783057,0.7778312802705396,1.0342538505916605,10.314158032658424
107,4,#007,right,mBAN_right,84FD27E506E8,2025-10-13,11-30-00,1000,1191.308,5.459855373723256,70.50855851329494,2.934691206211094,6504.364486897937,3.615286617041251,4.037291407251681,8.027983863701046
107,4,#007,right,mBAN_right,84FD27E506E8,2025-10-13,12-30-01,1000,1174.16,7.933650411049932,112.48809239712702,3.0274937704354037,9315.37033829739,3.734219006249498,5.159384216717097,15.639996964062828
107,4,#007,right,mBAN_right,84FD27E506E8,2025-10-13,14-30-00,1000,1191.56,6.06610551423064,68.06227889658736,3.0656973476580562,7228.124061064162,3.6818849781706375,4.121590590973691,12.15187166416161
