subject_id,side,date,session_label,iemg_percent_seconds,session_iemg_percent_seconds_pct_change,apdf_p50,session_apdf_p50_pct_change
85,left,2025-09-30,19-00-00,7149.179537043006,120.67440281718238,5.501726504053803,172.07144902758097
85,left,2025-10-01,09-15-00,9111.168871647107,,5.641758401923521,
85,left,2025-10-01,10-30-00,6108.468938431463,-32.95625375312377,3.780377527155987,-32.992920684673564
85,left,2025-10-01,11-45-00,11487.84949876814,88.06430243906583,7.793314016567981,106.15173909445397
85,left,2025-10-01,12-30-00,12245.348991020395,6.593919012722811,6.743852081426313,-13.466183101445589
85,left,2025-10-02,15-30-00,9212.354031005165,,5.385990135676833,
85,left,2025-10-02,17-00-00,11655.132368071356,26.51633153529227,8.503999312454845,57.89110448094398
85,left,2025-10-02,18-00-00,12809.404257530086,9.903550238698275,8.336503117596694,-1.9696167497666432
85,left,2025-10-02,19-00-00,9329.464982429614,-27.167065736525327,5.170547165439762,-37.97702594837673
85,left,2025-10-03,12-30-00,14652.336296291745,,7.796146955086937,
85,left,2025-10-03,13-00-00,16017.808736065417,9.319144825520073,9.468747721932113,21.454197521941456
85,left,2025-10-03,14-30-00,13889.42968100511,-13.287579406963996,7.713432751233961,-18.537984348578426
85,left,2025-10-03,16-00-00,10462.371838355328,-24.673855740358825,4.756982480437446,-38.328593327316625
85,right,2025-09-29,15-30-01,8729.287842010066,,5.197797319435917,
85,right,2025-09-29,17-30-00,13449.334999660856,54.071388675435394,10.321030912808592,98.56547453698455
85,right,2025-09-29,18-30-00,10548.46449595845,-21.56887685358091,5.772930632896381,-44.06633715502134
85,right,2025-09-29,19-30-00,12237.928374415349,16.01620671050467,6.648768209393252,15.171455057956365
85,right,2025-09-30,15-00-00,7597.996234147325,,3.4062517973719073,
85,right,2025-09-30,16-30-00,9925.974499047796,30.63937113364107,7.824070845393938,129.6973715046726
85,right,2025-09-30,17-30-00,3502.4446145912543,-64.7143500627848,2.357827011155599,-69.86444706666146
85,right,2025-09-30,19-00-00,6756.729567719836,92.91467278515029,3.596294255830732,52.525789161612224
85,right,2025-10-01,09-15-00,20837.283542930978,,13.395048865187245,
85,right,2025-10-01,10-30-00,15001.180989948747,-28.00798165921259,10.169594666238076,-24.079450783728674
85,right,2025-10-01,11-45-00,20383.891024852623,35.881908487808104,16.01752836109887,57.50409811587951
85,right,2025-10-01,12-30-00,22140.26846980727,8.616497423446885,16.154064353146186,0.8524161092101887
85,right,2025-10-02,15-30-00,12728.353378941636,,8.93148737226938,
85,right,2025-10-02,17-00-00,13979.79196328047,9.831896923990737,9.796952820555358,9.690048389623078
85,right,2025-10-02,18-00-00,11180.809955630357,-20.021628469164355,7.662649918417817,-21.785374914325185
85,right,2025-10-02,19-00-00,2566.6000053874814,-77.04459680852538,2.6149431400152907,-65.8741666674598
85,right,2025-10-03,12-30-00,11883.423683567169,,6.766596506494513,
85,right,2025-10-03,13-00-00,11283.588627594585,-5.047661952860082,5.074146800465547,-25.011831345412265
85,right,2025-10-03,14-30-00,10587.958583073414,-6.164971690123234,7.295647877383192,43.78078057800426
85,right,2025-10-03,16-00-00,3026.269974383711,-71.4178143913247,5.959636715845522,-18.312440293059634
